title,id,user_id,paper_id,comments,is_relevant,type
Examples and tutorials on using Google Colab and Gradio to create online interactive student-learning modules,1505,1,1,,,
Advanced SXO Techniques,1506,1,18,,0,
Fundamentals of Natural Language Processing,1507,1,19,,0,
Data,1508,1,20,,0,
Large Language Models,1509,1,21,,,
The Transformation of Business,1510,1,22,,0,
The Impact on Major Industries,1511,1,23,,0,
Generating Creativity from Negativity,1512,1,24,,,
Use Cases,1513,1,25,,0,
Future Trends in AI and Its Considerations for Business,1514,1,26,,0,
The Practical Concepts of Machine Learning,1515,1,27,,,
Understanding AI,1516,1,28,,,
So What’s the Plan? Mining Strategic Planning Documents,1517,1,30,,,
Legal Tech and Lawtech: Towards a Framework for Technological Trends in the Legal Services Industry,1518,1,31,,,
Learner Models for MOOC in a Lifelong Learning Context: A Systematic Literature Review,1519,1,32,,,
Exploring Unique App Signature of the Depressed and Non-depressed Through Their Fingerprints on Apps,1520,1,33,,,
The Ethics of Computational Social Science,1521,1,34,,0,
Resources and Conclusions,1522,1,35,,,
"Influence of Artificial Intelligence in Higher Education; Impact, Risk and Counter Measure",1523,1,36,,,
"Reflections on Automation, Learnability and Expressiveness in Logic-Based Programming Languages",1524,1,37,,,
"Prolog: Past, Present, and Future",1525,1,38,,,
Large Language Models in the Workplace: A Case Study on Prompt Engineering for Job Type Classification,1526,1,39,,0,
Philosophical and Social Realm,1527,1,40,,,
Automated Program Repair Using Generative Models for Code Infilling,1528,1,41,,,
Training Language Models for Programming Feedback Using Automated Repair Tools,1529,1,42,,,
Four Interactions Between AI and Education: Broadening Our Perspective on What AI Can Offer Education,1530,1,43,,,
A Software Platform for Evaluating Student Essays in Interdisciplinary Learning with Topic Classification Techniques,1531,1,44,,1,
Empowering Education with LLMs - The Next-Gen Interface and Content Generation,1532,1,45,,,
The Future of Humans and Language Models,1533,1,46,,,
Analyzing the Innovative Potential of Texts Generated by Large Language Models: An Empirical Evaluation,1534,1,47,,,
"Conversational Process Modelling: State of the Art, Applications, and Implications in Practice",1535,1,48,,,
Requirements Engineering for Cyber-Physical Products,1536,1,49,,,
PapagAI: Automated Feedback for Reflective Essays,1537,1,50,,1,
"Large Language Model Assisted Software Engineering: Prospects, Challenges, and a Case Study",1538,1,51,,,
Generative AI as a Supportive Tool for Scientific Research,1539,1,52,,,
The Economics of Generative AI,1540,1,53,,0,
Comparative Quality Analysis of GPT-Based Multiple Choice Question Generation,1541,1,54,,,
Learning Hierarchical Robot Skills Represented by Behavior Trees from Natural Language,1542,1,55,,,
State of the Art of Machine Learning,1543,1,56,,,
From nCoder to ChatGPT: From Automated Coding to Refining Human Coding,1544,1,57,,,
LLMs4OL: Large Language Models for Ontology Learning,1545,1,58,,0,
Assessing ChatGPT’s Proficiency in CS1-Level Problem Solving,1546,1,59,,,
Lost in Transformation: Rediscovering LLM-Generated Campaigns in Social Media,1547,1,60,,,
How Can Natural Language Processing and Generative AI Address Grand Challenges of Quantitative User Personas?,1548,1,61,,,
Acceptance of Generative AI in the Creative Industry: Examining the Role of AI Anxiety in the UTAUT2 Model,1549,1,62,,,
Demystifying the Impact of ChatGPT on Teaching and Learning,1550,1,63,,,
ChatGPT as a Fullstack Web Developer - Early Results,1551,1,64,,,
Adaptation of Enterprise Modeling Methods for Large Language Models,1552,1,65,,,
Analyzing Scrum Team Impediments Using NLP,1553,1,66,,,
Towards LLM-Based System Migration in Language-Driven Engineering,1554,1,67,,,
KG-CTG: Citation Generation Through Knowledge Graph-Guided Large Language Models,1555,1,68,,,
Large Language Model for Geometric Algebra: A Preliminary Attempt,1556,1,69,,,
Academic Integrity in the Face of Generative Language Models,1557,1,70,,,
Performance of Large Language Models in a Computer Science Degree Program,1558,1,71,,,
Bridging the Programming Skill Gap with ChatGPT: A Machine Learning Project with Business Students,1559,1,72,,1,
Developments in Artificial Intelligence and Linguistics,1560,1,73,,,
The Current Era of Chatbots,1561,1,74,,,
Chatbots as Villains: The Antisocial Uses of AI,1562,1,75,,,
Application of Large Language Models to DDoS Attack Detection,1563,1,76,,,
Prof Pi: Using Whatsapp Bots and GPT-4 for Tutoring Mathematics in Underserved Areas,1564,1,77,,,
Automated Interactive Domain-Specific Conversational Agents that Understand Human Dialogs,1565,1,78,,,
Artificial Intelligence and Information Literacy: Hazards and Opportunities,1566,1,79,,,
