paper1_id	paper2_id	source1	source2	combined_sources	paper1	paper2	edit_distance
310	965	scopus	arxiv	scopus, arxiv	Reshaping Robot Trajectories Using Natural Language Commands: A Study of Multi-Modal Data Alignment Using Transformers	Reshaping Robot Trajectories Using Natural Language Commands: A Study of   Multi-Modal Data Alignment Using Transformers	2
359	1509	arxiv, acm, scopus	web_of_science	arxiv, acm, scopus, web_of_science	Automatic Generation of Programming Exercises and Code Explanations   using Large Language Models	Automatic Generation of Programming Exercises and Code Explanations Using Large Language Models	3
361	964	scopus	arxiv	scopus, arxiv	Fooling MOSS Detection with Pretrained Language Models	Fooling MOSS Detection with Pretrained Language Models	0
464	981	acm, web_of_science, scopus	arxiv	acm, web_of_science, scopus, arxiv	Experiences with Remote Examination Formats in Light of GPT-4	Experiences with Remote Examination Formats in Light of GPT-4	0
499	992	acm	arxiv	acm, arxiv	Large Language Models for Education: Grading Open-Ended Questions Using ChatGPT	Large Language Models for Education: Grading Open-Ended Questions Using   ChatGPT	2
548	1003	acm, scopus	arxiv	acm, scopus, arxiv	Teach AI How to Code: Using Large Language Models as Teachable Agents for Programming Education	Teach AI How to Code: Using Large Language Models as Teachable Agents   for Programming Education	2
649	1016	acm, web_of_science, scopus	arxiv	acm, web_of_science, scopus, arxiv	Prompt Problems: A New Programming Exercise for the Generative AI Era	Prompt Problems: A New Programming Exercise for the Generative AI Era	0
690	996	acm, scopus	arxiv	acm, scopus, arxiv	CodeHelp: Using Large Language Models with Guardrails for Scalable Support in Programming Classes	CodeHelp: Using Large Language Models with Guardrails for Scalable   Support in Programming Classes	2
708	1019	acm, web_of_science, scopus	arxiv	acm, web_of_science, scopus, arxiv	Decoding Logic Errors: A Comparative Study on Bug Detection by Students and Large Language Models	Decoding Logic Errors: A Comparative Study on Bug Detection by Students   and Large Language Models	2
709	1015	acm, web_of_science, scopus	arxiv	acm, web_of_science, scopus, arxiv	More Robots are Coming: Large Multimodal Models (ChatGPT) can Solve Visually Diverse Images of Parsons Problems	More Robots are Coming: Large Multimodal Models (ChatGPT) can Solve   Visually Diverse Images of Parsons Problems	2
715	1023	acm, web_of_science, scopus	arxiv	acm, web_of_science, scopus, arxiv	Next-Step Hint Generation for Introductory Programming Using Large Language Models	Next-Step Hint Generation for Introductory Programming Using Large   Language Models	2
720	1005	acm, scopus	arxiv	acm, scopus, arxiv	Automating Human Tutor-Style Programming Feedback: Leveraging GPT-4 Tutor Model for Hint Generation and GPT-3.5 Student Model for Hint Validation	Automating Human Tutor-Style Programming Feedback: Leveraging GPT-4   Tutor Model for Hint Generation and GPT-3.5 Student Model for Hint Validation	2
722	1020	scopus	arxiv	scopus, arxiv	Kattis vs ChatGPT: Assessment and Evaluation of Programming Tasks in the Age of Artificial Intelligence	Kattis vs. ChatGPT: Assessment and Evaluation of Programming Tasks in   the Age of Artificial Intelligence	3
738	1488	arxiv, acm, scopus	ieee	arxiv, acm, scopus, ieee	Let's Ask AI About Their Programs: Exploring ChatGPT's Answers To   Program Comprehension Questions	Let's ask AI About Their Programs: Exploring ChatGPT's Answers to Program Comprehension Questions	4
742	1030	ieee, acm, scopus	arxiv	ieee, acm, scopus, arxiv	Assessing AI Detectors in Identifying AI-Generated Code: Implications for Education	Assessing AI Detectors in Identifying AI-Generated Code: Implications   for Education	2
784	1489	acm	ieee	acm, ieee	Compositional API Recommendation for Library-Oriented Code Generation	Compositional API Recommendation for Library-Oriented Code Generation	0
794	1033	acm, scopus	arxiv	acm, scopus, arxiv	Seven Failure Points When Engineering a Retrieval Augmented Generation System	Seven Failure Points When Engineering a Retrieval Augmented Generation   System	2
794	1490	acm, scopus	ieee	acm, scopus, ieee	Seven Failure Points When Engineering a Retrieval Augmented Generation System	Seven Failure Points When Engineering a Retrieval Augmented Generation System	0
881	1090	acm	arxiv	acm, arxiv	Evaluating ChatGPT-4 Vision on Brazil’s National Undergraduate Computer Science Exam	Evaluating ChatGPT-4 Vision on Brazil's National Undergraduate Computer   Science Exam	3
939	1012	acl	arxiv	acl, arxiv	Exploring the Potential of Large Language Models in Generating Code-Tracing Questions for Introductory Programming Courses	Exploring the Potential of Large Language Models in Generating   Code-Tracing Questions for Introductory Programming Courses	2
973	1095	arxiv	scopus	arxiv, scopus	Large Language Models (GPT) Struggle to Answer Multiple-Choice Questions   about Code	Large Language Models (GPT) Struggle to Answer Multiple-Choice Questions About Code	3
987	1506	arxiv	web_of_science	arxiv, web_of_science	Large Language Models (GPT) for automating feedback on programming   assignments	Large Language Models (GPT) for automating feedback on programming assignments	2
1033	1490	arxiv	ieee	arxiv, ieee	Seven Failure Points When Engineering a Retrieval Augmented Generation   System	Seven Failure Points When Engineering a Retrieval Augmented Generation System	2
1047	1557	arxiv	acl	arxiv, acl	Automated Generation of Multiple-Choice Cloze Questions for Assessing   English Vocabulary Using GPT-turbo 3.5	Automated Generation of Multiple-Choice Cloze Questions for Assessing {E}nglish Vocabulary Using {GPT}-turbo 3.5	5
